Barrington,Suburban
Bristol Warren,Regional
Burrillville,Suburban
Central Falls,Urban
Chariho,Regional
Coventry,Suburban
Cranston,Urban Ring
Cumberland,Suburban
East Greenwich,Suburban
East Providence,Urban Ring
Exeter-West Greenwich,Regional
Foster,Suburban
Foster-Glocester,Regional
Glocester,Suburban
Jamestown,Suburban
Johnston,Urban Ring
Lincoln,Suburban
Little Compton,Suburban
Middletown,Suburban
Narragansett,Suburban
New Shoreham,Suburban
Newport,Urban Ring
North Kingstown,Suburban
North Providence,Urban Ring
North Smithfield,Suburban
Pawtucket,Urban
Portsmouth,Suburban
Providence,Urban
Scituate,Suburban
Smithfield,Suburban
South Kingstown,Suburban
Tiverton,Suburban
Warwick,Urban Ring
West Warwick,Urban Ring
Westerly,Suburban
Woonsocket,Urban
Independent Charter School,Charter
State Operated School,State
DCYF,State
Achievement First Rhode Island,Charter
Beacon Charter School,Charter
Blackstone Academy,Charter
"Blackstone Valley Prep, A RI Mayoral Academy",Charter
Davies Career and Tech,Charter
Dept of Corrections,State
Highlander,Charter
International Charter,Charter
Kingston Hill Academy,Charter
Learning Community,Charter
MET Career and Tech,Charter
NonPublic School,Private
Paul Cuffee Charter Sch,Charter
R.I. Sch for the Deaf,State
Rhode Island Nurses Institute Middle College,Charter
RISE Prep Mayoral Academy,Charter
Segue Institute for Learning,Charter
Sheila Skip Nowell Leadership Academy,Charter
SouthSide Charter School,Charter
The Compass School,Charter
The Greene School,Charter
The Hope Academy,Charter
Trinity Academy for the Performing Arts,Charter
Urban Collaborative,Charter
Village Green Virtual,Charter
West Bay Collaborative,Charter
Charette Charter,Charter
