Champion,Release date
Aatrox,13-Jun-13
Ahri,14-Dec-11
Akali,11-May-10
Alistar,21-Feb-09
Amumu,26-Jun-09
Anivia,10-Jul-09
Annie,21-Feb-09
Aphelios,11-Dec-19
Ashe,21-Feb-09
Aurelion Sol,24-Mar-16
Azir,16-Sep-14
Bard,12-Mar-15
Blitzcrank,2-Sep-09
Brand,12-Apr-11
Braum,12-May-14
Caitlyn,4-Jan-11
Camille,7-Dec-16
Cassiopeia,14-Dec-10
Cho’Gath,26-Jun-09
Corki,19-Sep-09
Darius,23-May-12
Diana,7-Aug-12
Dr. Mundo,2-Sep-09
Draven,6-Jun-12
Ekko,29-May-15
Elise,26-Oct-12
Evelynn,1-May-09
Ezreal,16-Mar-10
Fiddlesticks,21-Feb-09
Fiora,29-Feb-12
Fizz,15-Nov-11
Galio,10-Aug-10
Gangplank,19-Aug-09
Garen,27-Apr-10
Gnar,14-Aug-14
Gragas,2-Feb-10
Graves,19-Oct-11
Gwen,15-Apr-21
Hecarim,18-Apr-12
Heimerdinger,10-Oct-09
Illaoi,24-Nov-15
Irelia,16-Nov-10
Ivern,5-Oct-16
Janna,2-Sep-09
Jarvan IV,1-Mar-11
Jax,21-Feb-09
Jayce,7-Jul-12
Jhin,1-Feb-16
Jinx,10-Oct-13
Kai’Sa,7-Mar-18
Kalista,20-Nov-14
Karma,1-Feb-11
Karthus,12-Jun-09
Kassadin,7-Aug-09
Katarina,19-Sep-09
Kayle,21-Feb-09
Kayn,12-Jul-17
Kennen,8-Apr-10
Kha’Zix,27-Sep-12
Kindred,14-Oct-15
Kled,10-Aug-16
Kog’Maw,24-Jun-10
LeBlanc,2-Nov-10
Lee Sin,1-Apr-11
Leona,13-Jul-11
Lillia,22-Jul-20
Lissandra,30-Apr-13
Lucian,22-Aug-13
Lulu,20-Mar-12
Lux,19-Oct-10
Malphite,2-Sep-09
Malzahar,1-Jun-10
Maokai,16-Feb-11
Master Yi,21-Feb-09
Miss Fortune,8-Sep-10
Mordekaiser,24-Feb-10
Morgana,21-Feb-09
Nami,7-Dec-12
Nasus,1-Oct-09
Nautilus,14-Feb-12
Neeko,5-Dec-18
Nidalee,17-Dec-09
Nocturne,15-Mar-11
Nunu and Willump,21-Feb-09
Olaf,9-Jun-10
Orianna,1-Jun-11
Ornn,23-Oct-17
Pantheon,2-Feb-10
Poppy,13-Jan-10
Pyke,31-May-18
Qiyana,28-Jun-19
Quinn,1-Mar-13
Rakan,19-Apr-17
Rammus,10-Jul-09
Rek’Sai,11-Dec-14
Rell,10-Dec-20
Renekton,18-Jan-11
Rengar,21-Aug-12
Riven,14-Sep-11
Rumble,26-Apr-11
Ryze,21-Feb-09
Samira,21-Sep-20
Sejuani,18-Jan-12
Senna,10-Nov-19
Seraphine,29-Oct-20
Sett,14-Jan-20
Shaco,10-Oct-09
Shen,23-Mar-10
Shyvana,1-Nov-11
Singed,18-Apr-09
Sion,21-Feb-09
Sivir,21-Feb-09
Skarner,9-Aug-11
Sona,21-Sep-10
Soraka,21-Feb-09
Swain,5-Oct-10
Sylas,25-Jan-19
Syndra,13-Sep-12
Tahm Kench,9-Jul-15
Taliyah,18-May-16
Talon,24-Aug-11
Taric,19-Aug-09
Teemo,21-Feb-09
Thresh,23-Jan-13
Tristana,21-Feb-09
Trundle,1-Dec-10
Tryndamere,1-May-09
Twisted Fate,21-Feb-09
Twitch,1-May-09
Udyr,2-Dec-09
Urgot,24-Aug-10
Varus,8-May-12
Vayne,10-May-11
Veigar,24-Jul-09
Vel’Koz,27-Feb-14
Vi,19-Dec-12
Viego,22-Jan-21
Viktor,29-Dec-11
Vladimir,27-Jul-10
Volibear,29-Nov-11
Warwick,21-Feb-09
Wukong,26-Jul-11
Xayah,19-Apr-17
Xerath,5-Oct-11
Xin Zhao,13-Jul-10
Yasuo,13-Dec-13
Yone,6-Aug-20
Yorwick,22-Jun-11
Yuumi,14-May-19
Zac,29-Mar-13
Zed,13-Nov-12
Ziggs,1-Feb-12
Zilean,18-Apr-09
Zoe,21-Nov-17
Zyra,24-Jul-12
