,,,,Total Votes,Total Votes,Election Day,Election Day,Candidate,Candidate,vote_diff
finished,,,,winner,runner up,winner,runner up,winner,runner up,
election,year,Contest,Party,,,,,,,
primary,2020,COUNCIL DISTRICT 5 PAWTUCKET,DEM,471,469,232,175,AMA MENSAH AMPONSAH*,JANIE LEE SEGUI RODRIGUEZ,2
primary,2020,REPRESENTATIVE DISTRICT COMMITTEE DISTRICT 64,DEM,649,647,263,246,HELIO MELO*,MARY ROSE PACHECO*,2
primary,2020,SENATORIAL DISTRICT COMMITTEE DISTRICT 30,DEM,1321,1315,526,524,JENNIFER SICILIANO*,DANIEL A. CALKIN*,6
primary,2020,SENATORIAL DISTRICT COMMITTEE DISTRICT 18,DEM,1537,1521,608,605,EMILY N. MERCER*,DEBRA J. COOK*,16
primary,2020,REPRESENTATIVE DISTRICT COMMITTEE DISTRICT 5,DEM,506,474,324,281,RAPHAEL OLAWALE OKELOLA,KATHLEEN FORTE,32
primary,2020,WARD COMMITTEE DISTRICT 6 PAWTUCKET,DEM,623,583,338,275,"TIMOTHY P. RUDD, JR.*",KATHLEEN A. BROWN*,40
primary,2020,SENATOR IN GENERAL ASSEMBLY DISTRICT 9,DEM,1106,1066,592,476,JOHN P. BURKE,GEOFFREY E. ROUSSELLE*,40
primary,2020,TOWN COUNCIL TOWN OF BRISTOL,DEM,1289,1246,446,462,AARON J. LEY*,TIMOTHY EDWARD SWEENEY*,43
primary,2020,COUNCIL DISTRICT 4 PAWTUCKET,DEM,629,585,248,296,ALEXIS C. SCHUETTE,"JOHN J. BARRY, III*",44
primary,2020,SENATORIAL DISTRICT COMMITTEE DISTRICT 22,DEM,1429,1384,671,654,TIMOTHY F. KANE*,S. JEAN CERRONI*,45
primary,2020,REPRESENTATIVE DISTRICT COMMITTEE DISTRICT 50,DEM,233,188,150,105,CHRISTOPHER M. DUBOIS*,JEANNINE A. GIGUERE-GAGNON,45
primary,2020,CITY COMMITTEE WARD 9 WARWICK,DEM,731,678,324,270,ZACHARY A. COLON,VINCENT J. GEBHART,53
primary,2020,COUNCIL AT-LARGE CITY OF PAWTUCKET,DEM,3325,3263,1570,1484,MICHAEL A. ARAUJO*,ELENA VASQUEZ,62
primary,2020,REPRESENTATIVE DISTRICT COMMITTEE DISTRICT 9,DEM,493,430,285,232,CLAUDETTE C. SMITH*,LESLEY H. BUNNELL*,63
primary,2020,SENATORIAL DISTRICT COMMITTEE DISTRICT 20,DEM,771,695,408,344,CAITLYN L. PICARD*,DEBRA A. LECLERC*,76
primary,2020,SENATORIAL DISTRICT COMMITTEE DISTRICT 4,DEM,1783,1702,997,1007,LISA M. ACETO*,PETER S. MANCINI*,81
primary,2020,CITY COMMITTEE WARD 5 WARWICK,DEM,576,492,250,202,EDGAR N. LADOUCEUR*,PATRICIA J. HAYES GOMM*,84
primary,2020,SCHOOL COMMITTEE DISTRICT 2 NORTH PROVIDENCE,DEM,922,832,571,488,RODERICK E. DA SILVA*,CATARINA ALEXANDRA DASILVA,90
primary,2020,COUNCIL DISTRICT 1 PAWTUCKET,DEM,567,472,295,228,DAVID P. MORAN*,CRISOLITA D. FIGUEIREDO,95
primary,2020,SCHOOL COMMITTEE TOWN OF SMITHFIELD,DEM,1005,881,463,426,ANTHONY J. TORREGROSSA*,BENJAMIN W. CAISSE,124
primary,2020,COUNCIL WARD 8 WARWICK,DEM,508,376,203,156,ANTHONY E. SINAPI*,DAN ELLIOTT,132
primary,2020,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 12,DEM,589,457,285,271,JOSE F. BATISTA,CARLOS CEDENO,132
primary,2020,TOWN COUNCIL DISTRICT 4 JOHNSTON,DEM,503,341,270,180,ROBERT V. RUSSO*,KEVIN P. MILLONZI,162
primary,2020,SENATORIAL DISTRICT COMMITTEE DISTRICT 29,DEM,1871,1708,869,715,JOHN T. MCCAFFREY*,NANCY M. SHERRILL*,163
primary,2020,SENATOR IN GENERAL ASSEMBLY DISTRICT 31,DEM,1016,852,434,339,KENDRA ANDERSON,STEVE MEROLLA*,164
