Alan Shawn Feinstein Middle School Of Coventry,Middle School
Aldrich Junior High School,Middle School
Archie R. Cole Middle School,Middle School
Barrington Middle School,Middle School
Birchwood Middle School,Middle School
Blackstone Valley Prep Middle School,Middle School
Burrillville Middle School,Middle School
Chariho Regional Middle School,Middle School
Curtis Corner Middle School,Middle School
Davisville Middle School,Middle School
Dr. Edward A. Ricci Middle School,Middle School
Edward R. Martin Middle School,Middle School
Frank E. Thompson Middle School,Middle School
Gilbert Stuart Middle School,Middle School
Goff Junior High School,Middle School
Gorton Junior High School,Middle School
Governor Christopher DelSesto Middle School,Middle School
Hugh B. Bain Middle School,Middle School
John F. Deering Middle School,Middle School
Joseph H. Gaudet School,Middle School
Joseph Jenks Junior High School,Middle School
Joseph L. McCourt Middle School,Middle School
Kickemuit Middle School,Middle School
Lawn Avenue School,Middle School
Lincoln Middle School,Middle School
Narragansett Pier School,Middle School
Nathan Bishop Middle School,Middle School
Nathanael Greene Middle School,Middle School
Nicholas A. Ferri Middle School,Middle School
North Cumberland Middle School,Middle School
North Smithfield Middle School,Middle School
Park View Middle School,Middle School
Ponaganset Middle School,Middle School
Portsmouth Middle School,Middle School
Riverside Middle School,Middle School
Roger Williams Middle School,Middle School
Samuel Slater Junior High School,Middle School
Scituate Middle School,Middle School
Segue Institute for Learning,Middle School
Tiverton Middle School,Middle School
Vincent J. Gallagher Middle School,Middle School
Warwick Veterans Jr. High School,Middle School
West Broadway Middle School,Middle School
Westerly Middle School,Middle School
Western Hills Middle School,Middle School
Wickford Middle School,Middle School
Wilbur & McMahon Schools,Middle School
Winman Junior High School,Middle School
Woonsocket Middle School,Middle School
