index,location,total_assistance,total_households,total_allocation,pct_spent,not_spent,type,state_abbr
3,California,290587927.0,42266.0,1497605327.0,0.194,1207017400.0,state_only,CA
56,Texas,616245711.0,109229.0,1308110630.0,0.4711,691864919.0,state_only,TX
96,Florida,15434154.0,4017.0,871237608.5,0.0177,855803454.5,state_only,FL
132,New York,2735422.0,186.0,800652297.6,0.0034,797916875.6,state_only,NY
160,Pennsylvania,122928643.0,28982.0,569807659.7,0.2157,446879016.70000005,state_only,PA
183,Illinois,182343737.0,21520.0,566275814.9,0.322,383932077.9,state_only,IL
197,Ohio,50056691.0,16388.0,564845626.0,0.0886,514788935.0,state_only,OH
219,Georgia,19845288.0,4146.0,552302716.6,0.0359,532457428.6,state_only,GA
235,North Carolina,129774050.0,62076.0,546596104.4,0.2374,416822054.4,state_only,NC
257,Michigan,116788731.0,18135.0,622794676.2,0.1875,506005945.20000005,state_only,MI
263,New Jersey,132636468.0,15282.0,353887496.1,0.3748,221251028.10000002,state_only,NJ
283,Virginia,282061898.0,41603.0,524601619.9,0.5377,242539721.89999998,state_only,VA
289,Washington,61552221.0,11969.0,322130256.7,0.1911,260578035.7,state_only,WA
306,Arizona,6976106.0,7382.0,289601979.8,0.0241,282625873.8,state_only,AZ
322,Massachusetts,144083342.0,38665.0,436458910.3,0.3301,292375568.3,state_only,MA
327,Tennessee,18827647.0,2910.0,383440280.4,0.0491,364612633.4,state_only,TN
336,Indiana,15641824.0,4684.0,371986504.9,0.042,356344680.9,state_only,IN
346,Missouri,27443026.0,5867.0,323694749.3,0.0848,296251723.3,state_only,MO
357,Maryland,17141544.0,3464.0,258076805.6,0.0664,240935261.6,state_only,MD
369,Wisconsin,43930278.0,13211.0,322174044.2,0.1364,278243766.2,state_only,WI
379,Colorado,32630756.0,5826.0,247795759.8,0.1317,215165003.8,state_only,CO
394,Minnesota,26691816.0,4544.0,289403961.4,0.0922,262712145.39999998,state_only,MN
405,South Carolina,2356346.0,439.0,271774744.3,0.0087,269418398.3,state_only,SC
416,Alabama,5749034.0,846.0,263236065.5,0.0218,257487031.5,state_only,AL
431,Louisiana,18037306.0,3029.0,248664567.6,0.0725,230627261.6,state_only,LA
442,Kentucky,37859463.0,7946.0,264304181.2,0.1432,226444718.2,state_only,KY
448,Oregon,9560015.0,1549.0,204366635.2,0.0468,194806620.2,state_only,OR
458,Oklahoma,29495533.0,10343.0,210011148.5,0.1404,180515615.5,state_only,OK
467,Connecticut,45498902.0,5798.0,235873751.1,0.1929,190374849.1,state_only,CT
470,Utah,16068847.0,3728.0,150406053.9,0.1068,134337206.9,state_only,UT
478,Iowa,10706423.0,2979.0,195110509.6,0.0549,184404086.6,state_only,IA
484,Nevada,8853061.0,1306.0,124853714.5,0.0709,116000653.5,state_only,NV
496,Hawaii,12734860.0,2331.0,125242649.0,0.1017,112507789.0,state_only,HI
502,Arkansas,3223756.0,1133.0,173684765.5,0.0186,170461009.5,state_only,AR
509,Mississippi,11009612.0,2033.0,186696633.8,0.059,175687021.8,state_only,MS
515,Kansas,21890644.0,4282.0,169344015.1,0.1293,147453371.1,state_only,KS
524,Vermont,11950808.0,6388.0,200000000.0,0.0598,188049192.0,state_only,VT
527,Delaware,8880747.0,1937.0,200000000.0,0.0444,191119253.0,state_only,DE
530,New Mexico,14561001.0,5344.0,161485443.0,0.0902,146924442.0,state_only,NM
537,New Hampshire,29881232.0,4868.0,179496223.8,0.1665,149614991.8,state_only,NH
542,Alaska,53079889.0,10815.0,164568140.0,0.3225,111488251.0,state_only,AK
547,Rhode Island,7849724.0,1237.0,200000000.0,0.0392,192150276.0,state_only,RI
550,Nebraska,5004807.0,1653.0,158572581.3,0.0316,153567774.3,state_only,NE
558,West Virginia,13179646.0,2541.0,200000000.0,0.0659,186820354.0,state_only,WV
561,Wyoming,2391047.0,754.0,200000000.0,0.012,197608953.0,state_only,WY
564,South Dakota,4427255.0,1671.0,200000000.0,0.0221,195572745.0,state_only,SD
567,Maine,46189201.0,8930.0,200000000.0,0.2309,153810799.0,state_only,ME
570,North Dakota,4622248.0,3113.0,200000000.0,0.0231,195377752.0,state_only,ND
573,Montana,14155982.0,2482.0,200000000.0,0.0708,185844018.0,state_only,MT
576,Idaho,10121664.0,2544.0,175746360.6,0.0576,165624696.6,state_only,ID
1,California,587194428.0,97180.0,2610593356.3000007,0.2249,2023398928.3000007,state_total,CA
54,Texas,886968237.0,184525.0,1946983604.0,0.4556,1060015367.0,state_total,TX
94,Florida,174561549.0,34901.0,1441188973.3999999,0.1211,1266627424.3999999,state_total,FL
130,New York,18353548.0,3110.0,1282268820.9000003,0.0143,1263915272.9000003,state_total,NY
158,Pennsylvania,218532995.0,50359.0,847688778.8000001,0.2578,629155783.8000001,state_total,PA
181,Illinois,303192266.0,36086.0,834709842.5999998,0.3632,531517576.5999998,state_total,IL
195,Ohio,100537960.0,28596.0,775405764.4,0.1297,674867804.4,state_total,OH
217,Georgia,60131144.0,13823.0,710207372.2000003,0.0847,650076228.2000003,state_total,GA
233,North Carolina,186731976.0,79822.0,702966451.4999999,0.2656,516234475.4999999,state_total,NC
255,Michigan,123419491.0,19077.0,660906592.1,0.1867,537487101.1,state_total,MI
261,New Jersey,153764419.0,20775.0,589011704.4,0.2611,435247285.4,state_total,NJ
281,Virginia,300466959.0,44637.0,569661203.5,0.5274,269194244.5,state_total,VA
287,Washington,107082432.0,21227.0,510182193.09999996,0.2099,403099761.09999996,state_total,WA
304,Arizona,76289326.0,22636.0,492131217.2,0.155,415841891.2,state_total,AZ
320,Massachusetts,151492667.0,39871.0,457129720.3,0.3314,305637053.3,state_total,MA
325,Tennessee,49762110.0,11570.0,456682774.4999999,0.109,406920664.4999999,state_total,TN
334,Indiana,46040667.0,14050.0,447937423.40000004,0.1028,401896756.40000004,state_total,IN
344,Missouri,56753148.0,13816.0,407924164.8,0.1391,351171016.8,state_total,MO
355,Maryland,57905913.0,9478.0,401575013.8,0.1442,343669100.8,state_total,MD
367,Wisconsin,70472424.0,20822.0,386777591.50000006,0.1822,316305167.50000006,state_total,WI
377,Colorado,68477925.0,12690.0,385124024.49999994,0.1778,316646099.49999994,state_total,CO
392,Minnesota,50433206.0,9619.0,375152158.5,0.1344,324718952.5,state_total,MN
403,South Carolina,25463959.0,7053.0,346020970.5,0.0736,320557011.5,state_total,SC
414,Alabama,18468858.0,3519.0,326358801.2,0.0566,307889943.2,state_total,AL
429,Louisiana,46198715.0,9218.0,308042376.59999996,0.15,261843661.59999996,state_total,LA
440,Kentucky,66060647.0,13109.0,296897443.5,0.2225,230836796.5,state_total,KY
446,Oregon,13435797.0,2934.0,281264683.4,0.0478,267828886.39999998,state_total,OR
456,Oklahoma,46006427.0,14862.0,263975438.50000003,0.1743,217969011.50000003,state_total,OK
465,Connecticut,45498902.0,5798.0,235873751.1,0.1929,190374849.1,state_total,CT
468,Utah,45253767.0,9369.0,215507409.99999997,0.21,170253642.99999997,state_total,UT
476,Iowa,19952879.0,5933.0,209783452.7,0.0951,189830573.7,state_total,IA
482,Nevada,60584143.0,9470.0,208105615.3,0.2911,147521472.3,state_total,NV
492,Hawaii,59413394.0,8408.0,202400000.0,0.2935,142986606.0,state_total,HI
500,Arkansas,10607929.0,3544.0,200961311.79999998,0.0528,190353382.79999998,state_total,AR
507,Mississippi,15946422.0,3176.0,200000000.00000003,0.0797,184053578.00000003,state_total,MS
513,Kansas,27248767.0,6578.0,200000000.0,0.1362,172751233.0,state_total,KS
519,District of Columbia,90843398.0,22559.0,200000000.0,0.4542,109156602.0,state_only,DC
521,District of Columbia,90843398.0,22559.0,200000000.0,0.4542,109156602.0,state_total,DC
522,Vermont,11950808.0,6388.0,200000000.0,0.0598,188049192.0,state_total,VT
525,Delaware,8880747.0,1937.0,200000000.0,0.0444,191119253.0,state_total,DE
528,New Mexico,27010381.0,9557.0,200000000.0,0.1351,172989619.0,state_total,NM
535,New Hampshire,30086543.0,4929.0,200000000.0,0.1504,169913457.0,state_total,NH
540,Alaska,74768347.0,15155.0,200000000.0,0.3738,125231653.0,state_total,AK
545,Rhode Island,7849724.0,1237.0,200000000.0,0.0392,192150276.0,state_total,RI
548,Nebraska,27005302.0,6563.0,200000000.0,0.135,172994698.0,state_total,NE
556,West Virginia,13179646.0,2541.0,200000000.0,0.0659,186820354.0,state_total,WV
559,Wyoming,2391047.0,754.0,200000000.0,0.012,197608953.0,state_total,WY
562,South Dakota,4427255.0,1671.0,200000000.0,0.0221,195572745.0,state_total,SD
565,Maine,46189201.0,8930.0,200000000.0,0.2309,153810799.0,state_total,ME
568,North Dakota,4622248.0,3113.0,200000000.0,0.0231,195377752.0,state_total,ND
571,Montana,14155982.0,2482.0,200000000.0,0.0708,185844018.0,state_total,MT
574,Idaho,19353682.0,4320.0,199999999.99999997,0.0968,180646317.99999997,state_total,ID
